# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1920-09-16;--:--;    176.000
1920-09-17;--:--;    168.000
1920-09-18;--:--;    192.000
1920-09-19;--:--;    512.000
1920-09-20;--:--;    809.000
1920-09-21;--:--;    685.000
1920-09-22;--:--;   1044.000
1920-09-23;--:--;   1310.000
1920-09-24;--:--;    956.000
1920-09-25;--:--;    753.000
1920-09-26;--:--;    532.000
1920-09-27;--:--;    436.000
1920-09-28;--:--;    382.000
1920-09-29;--:--;    351.000
1920-09-30;--:--;    340.000
1920-10-01;--:--;    288.000
1920-10-02;--:--;    302.000
1920-10-03;--:--;    351.000
1920-10-04;--:--;    321.000
1920-10-05;--:--;    276.000
1920-10-06;--:--;    255.000
1920-10-07;--:--;    242.000
1920-10-08;--:--;    233.000
1920-10-09;--:--;    229.000
1920-10-10;--:--;    223.000
1920-10-11;--:--;    213.000
1920-10-12;--:--;    207.000
1920-10-13;--:--;    203.000
1920-10-14;--:--;    196.000
1920-10-15;--:--;    192.000
1920-10-16;--:--;    186.000
1920-10-17;--:--;    182.000
1920-10-18;--:--;    176.000
1920-10-19;--:--;    176.000
1920-10-20;--:--;    172.000
1920-10-21;--:--;    166.000
1920-10-22;--:--;    164.000
1920-10-23;--:--;    162.000
1920-10-24;--:--;    158.000
1920-10-25;--:--;    149.000
1920-10-26;--:--;    147.000
1920-10-27;--:--;    143.000
1920-10-28;--:--;    141.000
1920-10-29;--:--;    134.000
1920-10-30;--:--;    133.000
1920-10-31;--:--;    127.000
1920-11-01;--:--;    126.000
1920-11-02;--:--;    122.000
1920-11-03;--:--;    127.000
1920-11-04;--:--;    127.000
1920-11-05;--:--;    127.000
1920-11-06;--:--;    122.000
1920-11-07;--:--;    116.000
1920-11-08;--:--;    112.000
1920-11-09;--:--;    112.000
1920-11-10;--:--;    109.000
1920-11-11;--:--;    107.000
1920-11-12;--:--;    104.000
1920-11-13;--:--;    101.000
1920-11-14;--:--;     99.200
1920-11-15;--:--;     99.200
1920-11-16;--:--;     99.200
1920-11-17;--:--;     99.200
1920-11-18;--:--;     96.000
1920-11-19;--:--;     94.400
1920-11-20;--:--;     89.600
1920-11-21;--:--;     84.900
1920-11-22;--:--;     83.400
1920-11-23;--:--;     81.900
1920-11-24;--:--;     81.900
1920-11-25;--:--;     84.900
1920-11-26;--:--;     81.900
1920-11-27;--:--;     78.900
1920-11-28;--:--;     77.400
1920-11-29;--:--;     78.900
1920-11-30;--:--;     77.400
1920-12-01;--:--;     75.900
1920-12-02;--:--;     77.400
1920-12-03;--:--;     78.900
1920-12-04;--:--;     80.400
1920-12-05;--:--;     81.900
1920-12-06;--:--;     77.400
1920-12-07;--:--;     77.400
1920-12-08;--:--;     77.400
1920-12-09;--:--;     74.500
1920-12-10;--:--;     71.500
1920-12-11;--:--;     71.500
1920-12-12;--:--;     71.500
1920-12-13;--:--;     71.500
1920-12-14;--:--;     68.700
1920-12-15;--:--;     67.400
1920-12-16;--:--;     67.400
1920-12-17;--:--;     70.100
1920-12-18;--:--;     66.200
1920-12-19;--:--;     65.000
1920-12-20;--:--;     68.700
1920-12-21;--:--;     66.200
1920-12-22;--:--;     65.000
1920-12-23;--:--;     62.600
1920-12-24;--:--;     63.800
1920-12-25;--:--;     63.800
1920-12-26;--:--;     63.800
1920-12-27;--:--;     63.800
1920-12-28;--:--;     63.800
1920-12-29;--:--;     66.200
1920-12-30;--:--;     71.500
1920-12-31;--:--;     70.100
1921-01-01;--:--;     61.500
